words,id
teringat,5
terjadi,6
terjaga,3
terjatuh,1
terjebak,1
terkadang,2
terkalibrasi,5
terkesan,1
terkunci,1
terlalu,6
terlanjur,3
terlena,1
terlihat,1
terluka,11
ternyaman,1
ternyata,4
terobati,4
terpesona,1
terpikir,1
terpikirkan,3
terpisah,1
tersadar,1
tersenyum,5
tersesat,1
tersiksa,2
tersimpan,2
tersipu,3
tersisa,3
tertahan,2
tertawa,4
tertawamu,3
tertawan,3
tertikam,3
tertipu,1
terus,3
tetes,3
thelathelo,1
thuyul,1
tiap,4
tiba,3
tidur,5
tikus,2
tinggal,5
tinggalkan,9
tinggi,2
tlah,14
topi,1
trima,1
trus,1
tua,2
tuan,2
tuanya,1
tubuh,1
tuhan,5
tujuan,1
tujuh,2
tuk,24
tulu,1
turun,1
tutur,3
uhhuoh,1
uhoh,1
uhohuhoh,1
uhuh,5
uhuhuh,1
uhwooh,1
ujung,5
ujungnya,3
ukir,4
ulang,1
umbul,1
ungkapan,1
untuk,19
untukku,7
untukmu,6
untuknya,5
usai,7
usir,1
waktu,14
waktuku,5
waktunya,1
walau,14
wangi,2
wanita,1
warna,5
warnai,1
warnawarni,1
wedhus,2
wooh,1
woohoh,1
woohohho,1
woohohohho,1
ya,3
yakin,1
yakinkan,1
yakinkanku,2
yen,1
