numCharts,id,track,artist_id,artist,album_id,album,release_date,link,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,genre,image,song_url,artist_url
31,2UgCs0i0rNHUH2jKE5NZHE,Sempurna,4ucwey7FxkHXkLK7jSfevU,Andra & The Backbone,2puZQ79KT5q5RPae7khveD,Andra & The Backbone,2006-12-28,https://api.spotify.com/v1/tracks/2UgCs0i0rNHUH2jKE5NZHE,0.358,0.32,4,-9.946,1,0.0308,0.726,0,0.105,0.384,115.499,audio_features,spotify:track:2UgCs0i0rNHUH2jKE5NZHE,https://api.spotify.com/v1/tracks/2UgCs0i0rNHUH2jKE5NZHE,https://api.spotify.com/v1/audio-analysis/2UgCs0i0rNHUH2jKE5NZHE,268423,3,rock,https://i.scdn.co/image/ab67616d0000b2738a25f55567169ee8dbc97fcc,https://open.spotify.com/track/2UgCs0i0rNHUH2jKE5NZHE,https://open.spotify.com/artist/4ucwey7FxkHXkLK7jSfevU
32,3TFdXrYIubXABQh0CxIiSs,Asmalibrasi,0YpfUFtmzwNGWjowRwoGel,Soegi Bornean,1geFjIWLQNCKO0Y7uB2Xlw,Asmalibrasi,2019-07-26,https://api.spotify.com/v1/tracks/3TFdXrYIubXABQh0CxIiSs,0.721,0.565,4,-6.208,1,0.0292,0.855,5.48e-6,0.0973,0.794,139.941,audio_features,spotify:track:3TFdXrYIubXABQh0CxIiSs,https://api.spotify.com/v1/tracks/3TFdXrYIubXABQh0CxIiSs,https://api.spotify.com/v1/audio-analysis/3TFdXrYIubXABQh0CxIiSs,254862,4,indie,https://i.scdn.co/image/ab6761610000e5eb88ccaeab7a9c0a3edfc6e3e8,https://open.spotify.com/track/3TFdXrYIubXABQh0CxIiSs,https://open.spotify.com/artist/0YpfUFtmzwNGWjowRwoGel
33,2hHeGD57S0BcopfVcmehdl,Hati-Hati di Jalan,2iDVt6mFbtbDEZG5ax0dTi,Tulus,3R4IAF9ApqYeUQrv1ddyoR,Manusia,2022-03-03,https://api.spotify.com/v1/tracks/2hHeGD57S0BcopfVcmehdl,0.643,0.436,6,-11.322,1,0.0357,0.702,0.0889,0.115,0.755,71.969,audio_features,spotify:track:2hHeGD57S0BcopfVcmehdl,https://api.spotify.com/v1/tracks/2hHeGD57S0BcopfVcmehdl,https://api.spotify.com/v1/audio-analysis/2hHeGD57S0BcopfVcmehdl,242000,4,pop,https://i.scdn.co/image/ab6761610000e5ebb2dac5833519e3b4e5f7efdb,https://open.spotify.com/track/2hHeGD57S0BcopfVcmehdl,https://open.spotify.com/artist/2iDVt6mFbtbDEZG5ax0dTi
34,5O2P9iiztwhomNh8xkR9lJ,Night Changes,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,4gCNyS7pidfK3rKWhB3JOY,FOUR (Deluxe),2014-11-17,https://api.spotify.com/v1/tracks/5O2P9iiztwhomNh8xkR9lJ,0.672,0.52,8,-7.747,1,0.0353,0.859,0,0.115,0.37,120.001,audio_features,spotify:track:5O2P9iiztwhomNh8xkR9lJ,https://api.spotify.com/v1/tracks/5O2P9iiztwhomNh8xkR9lJ,https://api.spotify.com/v1/audio-analysis/5O2P9iiztwhomNh8xkR9lJ,226600,4,pop,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8,https://open.spotify.com/track/5O2P9iiztwhomNh8xkR9lJ,https://open.spotify.com/artist/4AK6F7OLvEQ5QYCBNiQWHq
35,630DpnzdfjdVqv2yLfPbAX,Bertaut,20zafXaLhm5IcXnSU93rNn,Nadin Amizah,75KyCmWatZRvlMcMRed9BG,Selamat Ulang Tahun,2020-05-28,https://api.spotify.com/v1/tracks/630DpnzdfjdVqv2yLfPbAX,0.47,0.131,6,-13.29,1,0.0362,0.933,0.00245,0.109,0.115,118.836,audio_features,spotify:track:630DpnzdfjdVqv2yLfPbAX,https://api.spotify.com/v1/tracks/630DpnzdfjdVqv2yLfPbAX,https://api.spotify.com/v1/audio-analysis/630DpnzdfjdVqv2yLfPbAX,315961,3,pop,https://i.scdn.co/image/ab6761610000e5eb8f0388bc10b8074a06ed619e,https://open.spotify.com/track/630DpnzdfjdVqv2yLfPbAX,https://open.spotify.com/artist/20zafXaLhm5IcXnSU93rNn
36,1ZPVEo8RfmrEz8YAD5n6rW,Lantas,3tMTXQyRrPmMyHv5SoC0TV,Juicy Luicy,17vUW6koeUkV58uYfkK6G3,Sentimental,2020-11-06,https://api.spotify.com/v1/tracks/1ZPVEo8RfmrEz8YAD5n6rW,0.588,0.311,8,-8.143,1,0.025,0.791,0,0.352,0.545,86.022,audio_features,spotify:track:1ZPVEo8RfmrEz8YAD5n6rW,https://api.spotify.com/v1/tracks/1ZPVEo8RfmrEz8YAD5n6rW,https://api.spotify.com/v1/audio-analysis/1ZPVEo8RfmrEz8YAD5n6rW,234204,4,pop,https://i.scdn.co/image/ab6761610000e5ebbcb780f4924009e8b2c1abe4,https://open.spotify.com/track/1ZPVEo8RfmrEz8YAD5n6rW,https://open.spotify.com/artist/3tMTXQyRrPmMyHv5SoC0TV
37,5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,78bpIziExqiI9qztvNFlQu,AM,2013-09-09,https://api.spotify.com/v1/tracks/5XeFesFbtLpXzIVDNQP22n,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,audio_features,spotify:track:5XeFesFbtLpXzIVDNQP22n,https://api.spotify.com/v1/tracks/5XeFesFbtLpXzIVDNQP22n,https://api.spotify.com/v1/audio-analysis/5XeFesFbtLpXzIVDNQP22n,183956,4,rock,https://i.scdn.co/image/ab6761610000e5eb7da39dea0a72f581535fb11f,https://open.spotify.com/track/5XeFesFbtLpXzIVDNQP22n,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH
38,1VMtsqCaMNErFRmmvt4exv,Seandainya,1WX2v0BiEW19Vw7xmznLdZ,Vierra,53c9Qg8PfGlJMHZiUz0ysq,Storytelling,2022-02-07,https://api.spotify.com/v1/tracks/1VMtsqCaMNErFRmmvt4exv,0.252,0.827,2,-4.971,1,0.0321,0.0836,2.87e-4,0.219,0.477,93.968,audio_features,spotify:track:1VMtsqCaMNErFRmmvt4exv,https://api.spotify.com/v1/tracks/1VMtsqCaMNErFRmmvt4exv,https://api.spotify.com/v1/audio-analysis/1VMtsqCaMNErFRmmvt4exv,263467,3,pop,https://i.scdn.co/image/ab6761610000e5ebce05aec92bc5b3e81205ff73,https://open.spotify.com/track/1VMtsqCaMNErFRmmvt4exv,https://open.spotify.com/artist/1WX2v0BiEW19Vw7xmznLdZ
39,5zsVcDTZEKISPTCLYiTdwb,L,5vTG3EyFrsARtIGDWZNRzu,Hal,7BkrdnCB2PqOANRu14EKEA,Perspektif,2018-08-23,https://api.spotify.com/v1/tracks/5zsVcDTZEKISPTCLYiTdwb,0.656,0.364,2,-6.877,1,0.0325,0.834,7.67e-5,0.0982,0.487,152.959,audio_features,spotify:track:5zsVcDTZEKISPTCLYiTdwb,https://api.spotify.com/v1/tracks/5zsVcDTZEKISPTCLYiTdwb,https://api.spotify.com/v1/audio-analysis/5zsVcDTZEKISPTCLYiTdwb,220852,4,other,https://i.scdn.co/image/ab6761610000e5ebac26be2305c3707ee134b18f,https://open.spotify.com/track/5zsVcDTZEKISPTCLYiTdwb,https://open.spotify.com/artist/5vTG3EyFrsARtIGDWZNRzu
40,69CrOS7vEHIrhC2ILyEi0s,FLOWER,6UZ0ba50XreR4TM8u322gs,JISOO,4QuczuzDZNzCDli5Gz6DQ0,ME,2023-03-31,https://api.spotify.com/v1/tracks/69CrOS7vEHIrhC2ILyEi0s,0.841,0.384,9,-7.684,0,0.0351,0.0236,2.28e-6,0.0735,0.597,123.961,audio_features,spotify:track:69CrOS7vEHIrhC2ILyEi0s,https://api.spotify.com/v1/tracks/69CrOS7vEHIrhC2ILyEi0s,https://api.spotify.com/v1/audio-analysis/69CrOS7vEHIrhC2ILyEi0s,173134,4,pop,https://i.scdn.co/image/ab6761610000e5ebcb6017286dd64ca6b77c879f,https://open.spotify.com/track/69CrOS7vEHIrhC2ILyEi0s,https://open.spotify.com/artist/6UZ0ba50XreR4TM8u322gs
