,id,track,artist_id,artist,album_id,album,release_date,link,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
39,32Pdf9eyXDEMoClEJW6yYP,Interaksi,2iDVt6mFbtbDEZG5ax0dTi,Tulus,3R4IAF9ApqYeUQrv1ddyoR,Manusia,2022-03-03,https://api.spotify.com/v1/tracks/32Pdf9eyXDEMoClEJW6yYP,0.464,0.344,9,-8.302,1,0.033,0.778,1.23e-06,0.132,0.751,177.713,audio_features,spotify:track:32Pdf9eyXDEMoClEJW6yYP,https://api.spotify.com/v1/tracks/32Pdf9eyXDEMoClEJW6yYP,https://api.spotify.com/v1/audio-analysis/32Pdf9eyXDEMoClEJW6yYP,170000,4
40,5xwBIieMMFUmLDgvG4DjFe,Fall In Love Alone,3sXwEUqxSzb11VpuFa5cvJ,Stacey Ryan,0ASnNAycI0eu91gMm9Jfe4,Fall In Love Alone,2022-05-13,https://api.spotify.com/v1/tracks/5xwBIieMMFUmLDgvG4DjFe,0.676,0.625,7,-5.455,0,0.0711,0.316,0.000119,0.127,0.522,171.883,audio_features,spotify:track:5xwBIieMMFUmLDgvG4DjFe,https://api.spotify.com/v1/tracks/5xwBIieMMFUmLDgvG4DjFe,https://api.spotify.com/v1/audio-analysis/5xwBIieMMFUmLDgvG4DjFe,205428,4
41,0mMqopQJOWADJSPRMYkvTF,Dunia Tipu-Tipu,02Tq76MwpeoRu3BHIAiaio,Yura Yunita,4ehjkt2KhPomUc7duIqeyD,Tutur Batin,2021-10-22,https://api.spotify.com/v1/tracks/0mMqopQJOWADJSPRMYkvTF,0.48,0.325,1,-8.513,1,0.0354,0.907,1.52e-05,0.112,0.619,111.774,audio_features,spotify:track:0mMqopQJOWADJSPRMYkvTF,https://api.spotify.com/v1/tracks/0mMqopQJOWADJSPRMYkvTF,https://api.spotify.com/v1/audio-analysis/0mMqopQJOWADJSPRMYkvTF,218735,5
42,6fX8WwxAQ6rCPIC7lMgztu,Kisah Sempurna,3wOsYKZM0zcKNasi3I7fP4,Mahalini,6iBh7T1cUR8MPrtly5xugU,fábula,2023-01-23,https://api.spotify.com/v1/tracks/6fX8WwxAQ6rCPIC7lMgztu,0.537,0.486,11,-8.521,1,0.0336,0.51,1.65e-05,0.0817,0.0861,122.099,audio_features,spotify:track:6fX8WwxAQ6rCPIC7lMgztu,https://api.spotify.com/v1/tracks/6fX8WwxAQ6rCPIC7lMgztu,https://api.spotify.com/v1/audio-analysis/6fX8WwxAQ6rCPIC7lMgztu,276019,4
43,5fDCy4Hse30ZsjaTUGKVh5,Sang Dewi,6Sv2jkzH9sWQjwghW5ArMG,Lyodra,5JO7f6aqA0Tw1vfZuwLr0I,Sang Dewi,2022-08-12,https://api.spotify.com/v1/tracks/5fDCy4Hse30ZsjaTUGKVh5,0.339,0.58,6,-5.426,1,0.0319,0.554,2.15e-05,0.421,0.319,81.857,audio_features,spotify:track:5fDCy4Hse30ZsjaTUGKVh5,https://api.spotify.com/v1/tracks/5fDCy4Hse30ZsjaTUGKVh5,https://api.spotify.com/v1/audio-analysis/5fDCy4Hse30ZsjaTUGKVh5,247994,4
44,1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez,7ARtQpvnPN2ucbmVHngLOs,Until I Found You (Em Beihold Version),2022-04-22,https://api.spotify.com/v1/tracks/1Y3LN4zO1Edc2EluIoSPJN,0.551,0.55,10,-5.339,1,0.0286,0.777,0.0,0.202,0.342,101.19,audio_features,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,https://api.spotify.com/v1/tracks/1Y3LN4zO1Edc2EluIoSPJN,https://api.spotify.com/v1/audio-analysis/1Y3LN4zO1Edc2EluIoSPJN,176440,3
45,5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,78bpIziExqiI9qztvNFlQu,AM,2013-09-09,https://api.spotify.com/v1/tracks/5XeFesFbtLpXzIVDNQP22n,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,audio_features,spotify:track:5XeFesFbtLpXzIVDNQP22n,https://api.spotify.com/v1/tracks/5XeFesFbtLpXzIVDNQP22n,https://api.spotify.com/v1/audio-analysis/5XeFesFbtLpXzIVDNQP22n,183956,4
46,4SqWKzw0CbA05TGszDgMlc,I Love You So,027TpXKGwdXP7iwbjUSpV8,The Walters,7ucm85tRsWk6EyVHaYAxe9,I Love You So,2014-11-28,https://api.spotify.com/v1/tracks/4SqWKzw0CbA05TGszDgMlc,0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,0.466,75.977,audio_features,spotify:track:4SqWKzw0CbA05TGszDgMlc,https://api.spotify.com/v1/tracks/4SqWKzw0CbA05TGszDgMlc,https://api.spotify.com/v1/audio-analysis/4SqWKzw0CbA05TGszDgMlc,160240,4
47,1MgEuKnMKzbODJ5Ez94I64,Mesin Waktu,6Ifk2cbxyVzT41jLexYCas,Budi Doremi,3booEHeBD0ch2nl4ZACF7S,Dua Warna Cinta,2022-04-08,https://api.spotify.com/v1/tracks/1MgEuKnMKzbODJ5Ez94I64,0.448,0.309,9,-9.328,1,0.0283,0.845,0.0,0.13,0.385,139.977,audio_features,spotify:track:1MgEuKnMKzbODJ5Ez94I64,https://api.spotify.com/v1/tracks/1MgEuKnMKzbODJ5Ez94I64,https://api.spotify.com/v1/audio-analysis/1MgEuKnMKzbODJ5Ez94I64,262735,4
48,2RHm5IDIZ8fYRGzBIo7exV,Tampar,3tMTXQyRrPmMyHv5SoC0TV,Juicy Luicy,2lZzryqflrZLO9YDjnlkMz,Tampar,2022-04-08,https://api.spotify.com/v1/tracks/2RHm5IDIZ8fYRGzBIo7exV,0.459,0.377,6,-9.024,1,0.0314,0.652,0.0,0.0947,0.433,169.896,audio_features,spotify:track:2RHm5IDIZ8fYRGzBIo7exV,https://api.spotify.com/v1/tracks/2RHm5IDIZ8fYRGzBIo7exV,https://api.spotify.com/v1/audio-analysis/2RHm5IDIZ8fYRGzBIo7exV,202825,4
49,3W4U7TEgILGpq0EmquurtH,Old Love,5kjFzBMHeoAx9xksFSwfUW,yuji,6mKwqGY2IS3qSs3mgs30A5,Old Love,2022-08-19,https://api.spotify.com/v1/tracks/3W4U7TEgILGpq0EmquurtH,0.478,0.367,11,-10.513,1,0.0283,0.716,0.0,0.124,0.359,141.95,audio_features,spotify:track:3W4U7TEgILGpq0EmquurtH,https://api.spotify.com/v1/tracks/3W4U7TEgILGpq0EmquurtH,https://api.spotify.com/v1/audio-analysis/3W4U7TEgILGpq0EmquurtH,249382,3
